title,company,price,year,km_driven,fuel_type,transmission,city,link
Hyundai Verna (2020),Hyundai,900000,2020,72232,Petrol,Automatic,"Sarthana Jakatnaka, Surat",https://www.olx.in/item/cars-c84-used-hyundai-verna-in-sarthana-jakatnaka-surat-iid-1839628027
Maruti Suzuki Swift Dzire (2009),Maruti Suzuki,211000,2009,85000,Petrol,Manual,"Navrangpura, Ahmedabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-navrangpura-ahmedabad-iid-1846792960
Maruti Suzuki Wagon R (2014),Maruti Suzuki,325000,2014,128000,Petrol,Manual,"KR Puram Extension, Shivamogga",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-kr-puram-extension-shivamogga-iid-1846891333
Mahindra Xuv300 (2019),Mahindra,670000,2019,88746,Diesel,Automatic,"Ambika Vihar, Jammu",https://www.olx.in/item/cars-c84-used-mahindra-xuv-300-in-ambika-vihar-jammu-iid-1822889932
Skoda Kushaq (2021),Skoda,995000,2021,31000,Petrol,Manual,"Satyasai Road, Indore",https://www.olx.in/item/cars-c84-used-skoda-kushaq-in-satyasai-road-indore-iid-1846392899
Maruti Suzuki Alto 800 (2015),Maruti Suzuki,120000,2015,50845,Petrol,Manual,"Vikaspuri, Delhi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-vikaspuri-delhi-iid-1841396274
Hyundai Creta (2017),Hyundai,525000,2017,72000,Petrol,Automatic,"Karol Bagh, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-karol-bagh-delhi-iid-1845190472
Audi A6 (2016),Audi,1950000,2016,48500,Diesel,Automatic,"Pookkayil, Tirur",https://www.olx.in/item/cars-c84-used-audi-a6-in-pookkayil-tirur-iid-1840802871
Hyundai Creta (2017),Hyundai,699000,2017,63110,Petrol,Automatic,Sector,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-sector-17e-chandigarh-iid-1846812849
Maruti Suzuki Wagon R (2019),Maruti Suzuki,475000,2019,52000,Petrol,Manual,"New Palasiya, Indore",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-new-palasiya-indore-iid-1840119983
Renault Kwid (2017),Renault,285000,2017,54000,Petrol,Manual,"Sadar Bazaar, Nagpur",https://www.olx.in/item/cars-c84-used-renault-kwid-in-sadar-bazaar-nagpur-iid-1844427527
Kia Seltos (2021),Kia,900000,2021,40000,Petrol,Automatic,"Padinjare Vemballur, Panangad Thrissur District",https://www.olx.in/item/cars-c84-used-kia-seltos-in-panangad-thrissur-district-kerala-iid-1841084756
Maruti Suzuki Swift Dzire (2022),Maruti Suzuki,505376,2022,37546,Petrol,Manual,"Didarganj, Patna",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-didarganj-patna-iid-1845395214
Hyundai Creta (2020),Hyundai,611000,2020,38525,Petrol,Automatic,"Vasant Kunj, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-vasant-kunj-delhi-iid-1844623526
Tata Aria (2011),Tata,300000,2011,159000,Diesel,Manual,"Koundampalayam, Coimbatore",https://www.olx.in/item/cars-c84-used-tata-aria-in-koundampalayam-coimbatore-iid-1844779040
Toyota Fortuner (2021),Toyota,3299900,2021,180000,Petrol,Automatic,"Geddalahalli, Bengaluru",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-geddalahalli-bengaluru-iid-1828122509
Toyota Etios Liva (2018),Toyota,575000,2018,37400,Petrol,Manual,"Kundayithode, Beypore",https://www.olx.in/item/cars-c84-used-toyota-etios-liva-in-kundayithode-beypore-iid-1845890541
Hyundai Creta (2019),Hyundai,875000,2019,60000,Petrol,Manual,"Palika Vihar, Ambala",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-palika-vihar-ambala-iid-1844423820
Mini Cooper 3 Door (2014),Audi,1599999,2014,38000,Petrol,Automatic,"Geddalahalli, Bengaluru",https://www.olx.in/item/cars-c84-used-mini-cooper-3-door-in-geddalahalli-bengaluru-iid-1838724891
Hyundai Venue (2020),Hyundai,895000,2020,50000,Petrol,Automatic,"Geddalahalli, Bengaluru",https://www.olx.in/item/cars-c84-used-hyundai-venue-in-geddalahalli-bengaluru-iid-1835345423
Tata Tigor (2017),Tata,410000,2017,107585,Petrol,Manual,KGRoad,https://www.olx.in/item/cars-c84-used-tata-tigor-in-kgroad-mejestic-bengaluru-iid-1847183797
Volkswagen Vento (2015),Volkswagen,485000,2015,35945,Petrol,Automatic,"Powai Naka, Satara",https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-powai-naka-satara-iid-1845594320
Maruti Suzuki Swift (2014),Maruti Suzuki,360000,2014,139170,Petrol,Manual,"Erayikadavu, Kottayam",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-kottayam-kerala-iid-1846083819
Bmw X7 (2023),BMW,7400000,2023,24000,Petrol,Automatic,"Vasant Vihar, Delhi",https://www.olx.in/item/cars-c84-used-bmw-x7-in-vasant-vihar-delhi-iid-1842671788
Bmw X7 (2022),BMW,9200000,2022,19500,Petrol,Automatic,"Mount Road, Chennai",https://www.olx.in/item/cars-c84-used-bmw-x7-in-mount-road-chennai-iid-1838843815
Volkswagen Vento (2015),Volkswagen,525000,2015,35945,Petrol,Automatic,"Hadapsar, Pune",https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-hadapsar-pune-iid-1845594314
Honda City (2019),Honda,660000,2019,80000,Petrol,Automatic,"Gandhipuram, Coimbatore",https://www.olx.in/item/cars-c84-used-honda-city-in-gandhipuram-coimbatore-iid-1842479023
Maruti Suzuki Xl6 (2022),Maruti Suzuki,1150000,2022,60000,Petrol,Automatic,"Tillain Nagar, Tiruchirappalli",https://www.olx.in/item/cars-c84-used-maruti-suzuki-xl6-in-tillain-nagar-tiruchirappalli-iid-1818340458
Audi Q5 (2023),Audi,4500000,2023,36000,Petrol,Automatic,"Greater Kailash, Delhi",https://www.olx.in/item/cars-c84-used-audi-q5-in-greater-kailash-delhi-iid-1843579888
Ford Figo Aspire (2015),Ford,365000,2015,85000,Petrol,Automatic,"Yapral, Hyderabad",https://www.olx.in/item/cars-c84-used-ford-figo-aspire-in-yapral-hyderabad-iid-1842478172
Ford Figo Aspire (2018),Ford,365000,2018,40246,Petrol,Manual,"Madhapur, Hyderabad",https://www.olx.in/item/cars-c84-used-ford-figo-aspire-in-madhapur-hyderabad-iid-1840459980
Maruti Suzuki Celerio (2020),Maruti Suzuki,475000,2020,97500,Petrol,Automatic,"Kandanchavadi, Chennai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-kandanchavadi-chennai-iid-1844226750
Maruti Suzuki S-Presso (2022),Maruti Suzuki,482000,2022,49046,Petrol,Automatic,"Attapur, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-presso-in-attapur-hyderabad-iid-1835039423
Honda Br-V (2016),Honda,590000,2016,85000,Diesel,Automatic,"Sitapur, Sitapur",https://www.olx.in/item/cars-c84-used-honda-brv-in-sitapur-sitapur-iid-1846428563
Bmw 5 Series (2021),BMW,3800000,2021,33000,Petrol,Automatic,"Banjara Hills, Hyderabad",https://www.olx.in/item/cars-c84-used-bmw-5-series-in-banjara-hills-hyderabad-iid-1845592784
Mercedes-Benz S-Class (2015),Mercedes,2475000,2015,71000,Petrol,,"Golf Course Road, Gurgaon",https://www.olx.in/item/cars-c84-used-mercedes-benz-s-class-in-golf-course-road-gurgaon-iid-1841175069
Maruti Suzuki Wagon R (2024),Maruti Suzuki,410000,2024,21000,Petrol,Manual,Sector,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-sector-12-faridabad-iid-1840804159
Toyota Fortuner (2019),Toyota,2325000,2019,100000,Petrol,Automatic,"New Ashok Nagar, Delhi",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-new-ashok-nagar-delhi-iid-1843931138
Mg Hector (2024),MG,1650000,2024,75700,Petrol,Automatic,"Balapur, Hyderabad",https://www.olx.in/item/cars-c84-used-mg-hector-in-balapur-hyderabad-iid-1842479840
Volkswagen Taigun (2022),Volkswagen,1072000,2022,51000,Petrol,Manual,"Periyanaickenpalayam, Coimbatore",https://www.olx.in/item/cars-c84-used-volkswagen-taigun-in-periyanaickenpalayam-coimbatore-iid-1841176171
Maruti Suzuki Swift Dzire (2018),Maruti Suzuki,456000,2018,80258,Petrol,Manual,"Hazratganj, Lucknow",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-hazratganj-lucknow-iid-1845396764
Kia Carnival (2020),Kia,2550000,2020,78000,Diesel,Automatic,"Balkampet, Hyderabad",https://www.olx.in/item/cars-c84-used-kia-carnival-in-balkampet-hyderabad-iid-1844899636
Audi A4 (2025),Audi,3400000,2025,20000,Petrol,Automatic,"Rajouri Garden, Delhi",https://www.olx.in/item/cars-c84-used-audi-a4-in-rajouri-garden-delhi-iid-1840215795
Skoda Slavia (2022),Skoda,1200000,2022,62000,Petrol,Manual,"Palayankottai, Tirunelveli",https://www.olx.in/item/cars-c84-used-skoda-slavia-in-palayankottai-tirunelveli-iid-1846509871
Maruti Suzuki Wagon R Stingray (2014),Maruti Suzuki,365000,2014,52355,Petrol,Manual,"Pathardi Phata, Nashik",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-stingray-in-pathardi-phata-nashik-iid-1845191535
Maruti Suzuki Celerio (2019),Maruti Suzuki,385000,2019,58000,Petrol,Automatic,"Peera Garhi, Delhi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-peera-garhi-delhi-iid-1840216293
Mahindra Bolero (2015),Mahindra,850000,2015,57600,Diesel,Manual,"Vridhachalan, Erode",https://www.olx.in/item/cars-c84-used-mahindra-bolero-in-erode-tamil-nadu-iid-1842008245
Honda Jazz (2021),Honda,595000,2021,45600,Petrol,Automatic,"Thindal Malai, Erode",https://www.olx.in/item/cars-c84-used-honda-jazz-in-thindal-malai-erode-iid-1842008639
Honda Wr-V (2021),Honda,730000,2021,70000,Petrol,Manual,"Janda Panja, Rajahmundry",https://www.olx.in/item/cars-c84-used-honda-wrv-in-janda-panja-rajahmundry-iid-1844720089
Honda City (2017),Honda,333333,2017,97531,Petrol,Automatic,Indirapuram Shakti Khand,https://www.olx.in/item/cars-c84-used-honda-city-in-indirapuram-shakti-khand-2-ghaziabad-iid-1845896836
Mahindra Thar Roxx (2026),Mahindra,1950000,2026,11000,Petrol,Manual,"Anand Vihar, Delhi",https://www.olx.in/item/cars-c84-used-mahindra-thar-roxx-in-anand-vihar-delhi-iid-1847381598
Tata Tiago (2019),Tata,295000,2019,79400,Petrol,Manual,"Gurha Kiran, Jammu",https://www.olx.in/item/cars-c84-used-tata-tiago-in-gurha-kiran-jammu-iid-1847382095
Mercedes-Benz Glc (2025),Mercedes,7500000,2025,24000,Petrol,Automatic,"Vayunandana Layout, Bengaluru",https://www.olx.in/item/cars-c84-used-mercedes-benz-glc-in-vayunandana-layout-bengaluru-iid-1846796368
Hyundai Grand I10 Nios (2020),Hyundai,415000,2020,62000,Petrol,Automatic,Mayur Vihar Phase,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-mayur-vihar-phase-3-delhi-iid-1847297110
Hyundai Creta (2023),Hyundai,1085000,2023,28000,Petrol,Manual,"New Alipur, Kolkata",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-new-alipur-kolkata-iid-1806459073
Hyundai Creta (2019),Hyundai,875000,2019,50474,Petrol,Automatic,"Manorama Nagar, Thane",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-manorama-nagar-thane-iid-1846429412
Honda Wr-V (2017),Honda,530000,2017,140000,Petrol,Manual,"Thotapalem, Vizianagaram",https://www.olx.in/item/cars-c84-used-honda-wrv-in-thotapalem-vizianagaram-iid-1847377278
Hyundai Grand I10 Nios (2022),Hyundai,525000,2022,25000,Petrol,Automatic,"Surajmal Vihar, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-surajmal-vihar-delhi-iid-1846794844
Bmw X1 (2014),BMW,9,2014,48000,Diesel,Automatic,"RV Road, Bengaluru",https://www.olx.in/item/cars-c84-used-bmw-x1-in-rv-road-bengaluru-iid-1841920495
Hyundai Venue (2021),Hyundai,895511,2021,56591,Petrol,Automatic,"Kuvempu Nagar, Mysuru",https://www.olx.in/item/cars-c84-used-hyundai-venue-in-kuvempu-nagar-mysuru-iid-1842396077
Toyota Fortuner (2023),Toyota,4250000,2023,30000,Diesel,Automatic,Hsr Layout Sector,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-hsr-layout-sector-7-bengaluru-iid-1846991590
Honda Elevate (2024),Honda,1450000,2024,22017,Petrol,Automatic,"Mogappair East Mogappair East, Chennai",https://www.olx.in/item/cars-c84-used-honda-elevate-in-mogappair-east-mogappair-east-chennai-iid-1844746393
Toyota Innova Crysta (2019),Toyota,1475000,2019,65000,Diesel,Automatic,"Gomti Nagar, Lucknow",https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-gomti-nagar-lucknow-iid-1845396938
Ford Ecosport (2020),Ford,580000,2020,65000,Diesel,Automatic,"Kamta, Lucknow",https://www.olx.in/item/cars-c84-used-ford-ecosport-in-kamta-lucknow-iid-1840613709
Maruti Suzuki S Cross (2015),Maruti Suzuki,695000,2015,94000,Diesel,Automatic,"Rajarampuri, Kolhapur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross1-in-rajarampuri-kolhapur-iid-1836974178
Maruti Suzuki Xl6 (2025),Maruti Suzuki,1645000,2025,25000,Petrol,Automatic,"Kodambakkam, Chennai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-xl6-in-kodambakkam-chennai-iid-1841547198
Mahindra Thar (2021),Mahindra,1220000,2021,82000,Petrol,Automatic,"Industrial Area, Chandigarh",https://www.olx.in/item/cars-c84-used-mahindra-thar-in-industrial-area-chandigarh-iid-1845793834
Volkswagen Tiguan (2024),Volkswagen,2590000,2024,24091,Petrol,Automatic,"Banashankari, Bengaluru",https://www.olx.in/item/cars-c84-used-volkswagen-tiguan-in-banashankari-bengaluru-iid-1846794885
Renault Kwid (2019),Renault,245000,2019,26000,Petrol,Automatic,"Inderlok, Delhi",https://www.olx.in/item/cars-c84-used-renault-kwid-in-inderlok-delhi-iid-1838655634
Hyundai Elite I20 (2018),Hyundai,395000,2018,67000,Petrol,Manual,"New Town, Kolkata",https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-new-town-kolkata-iid-1845064546
Kia Seltos (2020),Kia,849000,2020,48000,Petrol,Manual,"Nungambakkam, Chennai",https://www.olx.in/item/cars-c84-used-kia-seltos-in-nungambakkam-chennai-iid-1807580090
Honda City (2017),Honda,500000,2017,44000,Petrol,Automatic,"Inderlok, Delhi",https://www.olx.in/item/cars-c84-used-honda-city-in-inderlok-delhi-iid-1838655121
Maruti Suzuki Ertiga (2016),Maruti Suzuki,795000,2016,295000,Petrol,Manual,"Ramesh Nagar, Delhi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-ramesh-nagar-delhi-iid-1838655359
Honda Wr-V (2019),Honda,700300,2019,28000,Petrol,Manual,"Basavanagudi, Bengaluru",https://www.olx.in/item/cars-c84-used-honda-wrv-in-basavanagudi-bengaluru-iid-1846190953
Maruti Suzuki Xl6 (2025),Maruti Suzuki,1645000,2025,25000,Petrol,Automatic,"Kodambakkam, Chennai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-xl6-in-kodambakkam-chennai-iid-1841547198
Hyundai Santa Fe (2014),Hyundai,850000,2014,170000,Diesel,Automatic,"Ghatkopar East, Mumbai",https://www.olx.in/item/cars-c84-used-hyundai-santa-fe-in-ghatkopar-east-mumbai-iid-1846764916
Mercedes-Benz E-Class (2018),Mercedes,2900000,2018,30000,Diesel,Automatic,"Bypass Road, Thiruvananthapuram",https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-bypass-road-thiruvananthapuram-iid-1841733323
Maruti Suzuki Grand Vitara (2024),Maruti Suzuki,1835000,2024,60000,CNG,Automatic,"Pookkayil, Tirur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-grand-vitara-in-pookkayil-tirur-iid-1845892292
Audi A3 Cabriolet (2020),Audi,5000000,2020,42174,Petrol,Automatic,"Panipat Taraf Afghan, Panipat",https://www.olx.in/item/cars-c84-used-audi-a3-cabriolet-in-panipat-taraf-afghan-panipat-iid-1842863713
Maruti Suzuki Swift Dzire (2021),Maruti Suzuki,580000,2021,68579,Petrol,Manual,"LB Nagar, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-lb-nagar-hyderabad-iid-1845595246
Maruti Suzuki Eeco (2017),Maruti Suzuki,415000,2017,148619,Petrol,Manual,"Karmanghat, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-karmanghat-hyderabad-iid-1846892688
Mg Gloster (2023),MG,29,2023,40000,Diesel,Automatic,"Preet Vihar, Delhi",https://www.olx.in/item/cars-c84-used-mg-gloster-in-preet-vihar-delhi-iid-1844032230
Tata Zest (2017),Tata,290000,2017,65000,Petrol,Manual,"Urban Estate, Patiala",https://www.olx.in/item/cars-c84-used-tata-zest-in-urban-estate-patiala-iid-1845892225
Nissan Sunny (2013),Nissan,228000,2013,95000,Petrol,Automatic,"Deccan, Pune",https://www.olx.in/item/cars-c84-used-nissan-sunny-in-deccan-pune-iid-1841547081
Land Rover Range Rover Sport (2020),Land Rover,5700000,2020,65000,Petrol,Automatic,"IMT Rohtak, Rohtak",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-imt-rohtak-rohtak-iid-1843835033
Mahindra Scorpio (2020),Mahindra,1390000,2020,85000,Diesel,Automatic,Sector,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-sector-68-mohali-iid-1846991744
Mahindra Scorpio (2016),Mahindra,950000,2016,84000,Diesel,Manual,"Patiala Vision Enclave, Patiala",https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-patiala-vision-enclave-patiala-iid-1846325314
Toyota Fortuner (2017),Toyota,2050000,2017,65000,Diesel,Automatic,Kumbra,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-kumbra-6-part-mohali-iid-1841733195
Hyundai Grand I10 (2015),Hyundai,335000,2015,52000,Petrol,Automatic,"Purvi Patel Nagar, Dehradun",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-purvi-patel-nagar-dehradun-iid-1833498726
Land Rover Range Rover Velar (2024),Land Rover,8600000,2024,13000,Petrol,Automatic,"Pramuj Swami Kutir, Vadodara",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-velar-in-pramuj-swami-kutir-vadodara-iid-1835275599
Bmw X7 (2023),BMW,7600000,2023,39387,Petrol,Automatic,"Civil Lines, Raipur",https://www.olx.in/item/cars-c84-used-bmw-x7-in-civil-lines-raipur-iid-1845794152
Land Rover Range Rover Sport (2021),Land Rover,6400000,2021,50000,Petrol,Automatic,"Golf Course Road, Gurgaon",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-golf-course-road-gurgaon-iid-1844657844
Porsche Macan (2024),Porsche,7900000,2024,10000,Petrol,Automatic,"Vadsar Viswamitri Road, Vadodara",https://www.olx.in/item/cars-c84-used-porsche-macan-in-vadsar-viswamitri-road-vadodara-iid-1843053427
Hyundai Venue N Line (2023),Hyundai,1100000,2023,21000,Petrol,Automatic,"Hadapsar, Pune",https://www.olx.in/item/cars-c84-used-hyundai-venue-n-line-in-hadapsar-pune-iid-1843834168
Hyundai Santro (2005),Hyundai,125000,2005,190000,Petrol,Manual,"Viraganur, Madurai",https://www.olx.in/item/cars-c84-used-hyundai-santro-in-viraganur-madurai-iid-1841735318
Maruti Suzuki Wagon R (2005),Maruti Suzuki,120000,2005,150000,Petrol,Manual,"Yeswanthpur, Bengaluru",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-yeswanthpur-bengaluru-iid-1846521911
Maruti Suzuki Eeco (2024),Maruti Suzuki,451000,2024,8052,Petrol,Manual,"Kankarbagh, Patna",https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-kankarbagh-patna-iid-1846695031
Honda Wr-V (2018),Honda,580000,2018,70000,Petrol,Manual,"Ayali Real Estate Area, Ludhiana",https://www.olx.in/item/cars-c84-used-honda-wrv-in-ayali-real-estate-area-ludhiana-iid-1844903002
Hyundai Grand I10 (2015),Hyundai,375000,2015,48000,Petrol,Automatic,"New Minal Residency, Bhopal",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-new-minal-residency-bhopal-iid-1844429628
Toyota Fortuner (2013),Toyota,1075000,2013,172000,Diesel,Automatic,"Swargate, Pune",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-swargate-pune-iid-1846193315
Ford Ecosport (2016),Ford,461896,2016,100000,Petrol,Automatic,"Peelamedu, Coimbatore",https://www.olx.in/item/cars-c84-used-ford-ecosport-in-peelamedu-coimbatore-iid-1842147591
Maruti Suzuki Baleno (2023),Maruti Suzuki,600000,2023,131000,Petrol,Automatic,"Suchitra Road, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-suchitra-road-hyderabad-iid-1845795801
Toyota Fortuner (2026),Toyota,3750000,2026,7850,Petrol,Automatic,"Chirag Delhi, Delhi",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-chirag-delhi-delhi-iid-1845796475
